Employee Number,Last Name,First Name,Birthday,Address,Phone Number,SSS Number,Philhealth Number,TIN,Pagibig Number,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Semi Monthly Rate,Hourly Rate
1,Garcia,Manuel III,10/11/1983,"Valero Building, Valero Street, Salcedo Village, 1227 Makati, Kalakhang Maynila, Philippines",0976-141-8256,44-4506057-3,82-012685330-2,442-605-657-000,6912-9533-0815,Regular,Chief Executive Officer,"N/A",90000.0,1500.0,2000.0,1000.0,45000.0,535.71
2,Lim,Antonio,06/19/1988,"San Antonio De Padua 2, Block 1 Lot 8 and 2, Dasmarinas, Cavite",0917-186-7411,52-2061274-9,33-173564633-8,683-102-776-000,6639-0499-5411,Regular,Chief Operating Officer,"Garcia, Manuel III",60000.0,1500.0,2000.0,1000.0,30000.0,357.14
3,Aquino,Bianca Sofia,08/04/1989,"Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100, Quezon City",0966-889-3700,30-8870406-2,17-745118966-5,971-711-280-000,1715-1977-3969,Regular,Chief Finance Officer,"Garcia, Manuel III",60000.0,1500.0,2000.0,1000.0,30000.0,357.14
4,Reyes,Isabella,06/16/1994,"460 Solanda Street Intramuros 1000, Manila",0978-686-8477,40-2511815-0,34-191141125-4,876-809-437-000,4169-4677-6041,Regular,Chief Marketing Officer,"Garcia, Manuel III",60000.0,1500.0,2000.0,1000.0,30000.0,357.14
5,Hernandez,Eduard,09/23/1989,"National Highway, Gingoog,  Misamis Occidental",0908-886-1012,50-5577638-1,95-743619181-2,031-702-374-000,9523-4722-2457,Regular,IT Operations and Systems,"Lim, Antonio",52670.0,1500.0,1000.0,1000.0,26335.0,313.51
6,Villanueva,Andrea Mae,02/14/1988,"17/85 Stracke Via Suite 042, Poblacion, Las Piñas 4783 Dinagat Islands",0918-621-6030,49-1632020-8,38-218945314-5,317-674-022-000,4410-9336-9646,Regular,HR Manager,"Lim, Antonio",52670.0,1500.0,1000.0,1000.0,26335.0,313.51
7,San Jose,Brad,03/15/1996,"99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi",0979-700-9261,40-2400714-1,23-919292693-9,672-474-690-000,2108-5020-9964,Regular,HR Team Leader,"Villanueva, Andrea Mae",42975.0,1500.0,800.0,800.0,21487.5,255.8
8,Romualdez,Alice,05/14/1992,"12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte",0983-606-7990,55-4476527-2,54-565264023-2,888-572-294-000,2113-8555-6888,Regular,HR Rank and File,"San Jose, Brad",22500.0,1500.0,500.0,500.0,11250.0,133.93
9,Atienza,Rosie,09/24/1948,"90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte",0926-603-6427,41-0644692-3,70-898823485-3,604-997-793-000,2601-0773-2354,Regular,HR Rank and File,"San Jose, Brad",22500.0,1500.0,500.0,500.0,11250.0,133.93
10,Alvaro,Roderick,03/30/1988,"#284 T. Morato corner, Scout Rallos Street, Quezon City",0905-338-1386,64-7605054-4,57-811485319-4,525-420-419-000,7992-5409-5212,Regular,Accounting Head,"Aquino, Bianca Sofia",52670.0,1500.0,1000.0,1000.0,26335.0,313.51
11,Salcedo,Anthony,09/14/1993,"93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate",0907-076-6300,26-9647608-3,12-644531565-1,210-805-911-000,2180-0247-3454,Regular,Payroll Manager,"Alvaro, Roderick",50825.0,1500.0,1000.0,1000.0,25412.5,302.53
12,Lopez,Josie,01/14/1987,"49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro",0947-835-5427,44-8563448-3,43-170901101-2,218-489-737-000,1130-7129-3354,Regular,Payroll Team Leader,"Salcedo, Anthony",38475.0,1500.0,800.0,800.0,19237.5,229.02
13,Farala,Martha,01/11/1942,"42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte",0932-903-4366,45-5656375-0,23-369389724-7,210-835-851-000,6311-3028-3546,Regular,Payroll Rank and File,"Salcedo, Anthony",24000.0,1500.0,500.0,500.0,12000.0,142.86
