PayslipID,EmployeeNumber,EmployeeName,PayPeriodStart,PayPeriodEnd,GeneratedDate,GeneratedBy,GrossPay,NetPay,TotalDeductions,PayslipContent
PS-1772864208774-11,11,Anthony Salcedo,2026-03-02,2026-03-08,2026-03-07,salcedoanthony,13581.25,11541.29,2039.96,"=== PAYSLIP ===
Employee: Anthony Salcedo
Emp #: 11
Position: Payroll Manager
Period: 2026-03-02 to 2026-03-08

=== EARNINGS ===
Gross Pay: ₱13,581.25

=== DEDUCTIONS ===
SSS: ₱225.00
PhilHealth: ₱271.63
Pag-IBIG: ₱25.00
Withholding Tax: ₱1,518.33
Total Deductions: ₱2,039.96

=== NET PAY ===
Net Pay: ₱11,541.29
"
PS-1772863860285-34,34,Beatriz Santos,2026-03-02,2026-03-11,2026-03-07,salcedoanthony,14042.50,11901.07,2141.43,"=== PAYSLIP ===
Employee: Beatriz Santos
Emp #: 34
Position: Customer Service and Relations
Period: 2026-03-02 to 2026-03-11

=== EARNINGS ===
Gross Pay: ₱14,042.50

=== DEDUCTIONS ===
SSS: ₱225.00
PhilHealth: ₱280.85
Pag-IBIG: ₱25.00
Withholding Tax: ₱1,610.58
Total Deductions: ₱2,141.43

=== NET PAY ===
Net Pay: ₱11,901.07
"
PS-1772865251915-9,9,Rosie Atienza,2026-03-16,2026-03-22,2026-03-07,salcedoanthony,6250.00,5718.75,531.25,"=== PAYSLIP ===
Employee: Rosie Atienza
Emp #: 9
Position: HR Rank and File
Period: 2026-03-16 to 2026-03-22

=== EARNINGS ===
Gross Pay: ₱6,250.00

=== DEDUCTIONS ===
SSS: ₱225.00
PhilHealth: ₱125.00
Pag-IBIG: ₱25.00
Withholding Tax: ₱156.25
Total Deductions: ₱531.25

=== NET PAY ===
Net Pay: ₱5,718.75
"
PS-1772865121277-26,26,Percival Gutierrez,2026-03-09,2026-03-15,2026-03-07,salcedoanthony,6812.50,6185.63,626.88,"=== PAYSLIP ===
Employee: Percival Gutierrez
Emp #: 26
Position: Account Rank and File
Period: 2026-03-09 to 2026-03-15

=== EARNINGS ===
Gross Pay: ₱6,812.50

=== DEDUCTIONS ===
SSS: ₱225.00
PhilHealth: ₱136.25
Pag-IBIG: ₱25.00
Withholding Tax: ₱240.63
Total Deductions: ₱626.88

=== NET PAY ===
Net Pay: ₱6,185.63
"
PS-1772863860260-22,22,Kolby Delos Santos,2026-03-02,2026-03-11,2026-03-07,salcedoanthony,6625.00,6030.00,595.00,"=== PAYSLIP ===
Employee: Kolby Delos Santos
Emp #: 22
Position: Account Rank and File
Period: 2026-03-02 to 2026-03-11

=== EARNINGS ===
Gross Pay: ₱6,625.00

=== DEDUCTIONS ===
SSS: ₱225.00
PhilHealth: ₱132.50
Pag-IBIG: ₱25.00
Withholding Tax: ₱212.50
Total Deductions: ₱595.00

=== NET PAY ===
Net Pay: ₱6,030.00
"
PS-1772865251971-25,25,Jacklyn Tolentino,2026-03-16,2026-03-22,2026-03-07,salcedoanthony,6625.00,6030.00,595.00,"=== PAYSLIP ===
Employee: Jacklyn Tolentino
Emp #: 25
Position: Account Rank and File
Period: 2026-03-16 to 2026-03-22

=== EARNINGS ===
Gross Pay: ₱6,625.00

=== DEDUCTIONS ===
SSS: ₱225.00
PhilHealth: ₱132.50
Pag-IBIG: ₱25.00
Withholding Tax: ₱212.50
Total Deductions: ₱595.00

=== NET PAY ===
Net Pay: ₱6,030.00
"
PS-1772863860228-6,6,Andrea Mae Villanueva,2026-03-02,2026-03-11,2026-03-07,salcedoanthony,14042.50,11901.07,2141.43,"=== PAYSLIP ===
Employee: Andrea Mae Villanueva
Emp #: 6
Position: HR Manager
Period: 2026-03-02 to 2026-03-11

=== EARNINGS ===
Gross Pay: ₱14,042.50

=== DEDUCTIONS ===
SSS: ₱225.00
PhilHealth: ₱280.85
Pag-IBIG: ₱25.00
Withholding Tax: ₱1,610.58
Total Deductions: ₱2,141.43

=== NET PAY ===
Net Pay: ₱11,901.07
"
PS-1772863860237-10,10,Roderick Alvaro,2026-03-02,2026-03-11,2026-03-07,salcedoanthony,14042.50,11901.07,2141.43,"=== PAYSLIP ===
Employee: Roderick Alvaro
Emp #: 10
Position: Accounting Head
Period: 2026-03-02 to 2026-03-11

=== EARNINGS ===
Gross Pay: ₱14,042.50

=== DEDUCTIONS ===
SSS: ₱225.00
PhilHealth: ₱280.85
Pag-IBIG: ₱25.00
Withholding Tax: ₱1,610.58
Total Deductions: ₱2,141.43

=== NET PAY ===
Net Pay: ₱11,901.07
"
PS-1772865121232-14,14,Leila Martinez,2026-03-09,2026-03-15,2026-03-07,salcedoanthony,6625.00,6030.00,595.00,"=== PAYSLIP ===
Employee: Leila Martinez
Emp #: 14
Position: Payroll Rank and File
Period: 2026-03-09 to 2026-03-15

=== EARNINGS ===
Gross Pay: ₱6,625.00

=== DEDUCTIONS ===
SSS: ₱225.00
PhilHealth: ₱132.50
Pag-IBIG: ₱25.00
Withholding Tax: ₱212.50
Total Deductions: ₱595.00

=== NET PAY ===
Net Pay: ₱6,030.00
"
PS-1772864362793-32,32,John Rafael Castro,2026-02-23,2026-03-01,2026-03-07,salcedoanthony,14042.50,11901.07,2141.43,"=== PAYSLIP ===
Employee: John Rafael Castro
Emp #: 32
Position: Sales & Marketing
Period: 2026-02-23 to 2026-03-01

=== EARNINGS ===
Gross Pay: ₱14,042.50

=== DEDUCTIONS ===
SSS: ₱225.00
PhilHealth: ₱280.85
Pag-IBIG: ₱25.00
Withholding Tax: ₱1,610.58
Total Deductions: ₱2,141.43

=== NET PAY ===
Net Pay: ₱11,901.07
"
PS-1772864362700-3,3,Bianca Sofia Aquino,2026-02-23,2026-03-01,2026-03-07,salcedoanthony,16125.00,13525.42,2599.58,"=== PAYSLIP ===
Employee: Bianca Sofia Aquino
Emp #: 3
Position: Chief Finance Officer
Period: 2026-02-23 to 2026-03-01

=== EARNINGS ===
Gross Pay: ₱16,125.00

=== DEDUCTIONS ===
SSS: ₱225.00
PhilHealth: ₱322.50
Pag-IBIG: ₱25.00
Withholding Tax: ₱2,027.08
Total Deductions: ₱2,599.58

=== NET PAY ===
Net Pay: ₱13,525.42
"
PS-1772864208767-8,8,Alice Romualdez,2026-03-02,2026-03-08,2026-03-07,salcedoanthony,6250.00,5718.75,531.25,"=== PAYSLIP ===
Employee: Alice Romualdez
Emp #: 8
Position: HR Rank and File
Period: 2026-03-02 to 2026-03-08

=== EARNINGS ===
Gross Pay: ₱6,250.00

=== DEDUCTIONS ===
SSS: ₱225.00
PhilHealth: ₱125.00
Pag-IBIG: ₱25.00
Withholding Tax: ₱156.25
Total Deductions: ₱531.25

=== NET PAY ===
Net Pay: ₱5,718.75
"
