username,password,role,employeeNumber
admin,admin123,SystemAdmin,1
owner,owner123,Owner,2
garciamanuel,emp001,Executive,1
limantonio,emp002,Executive,2
aquinobianca,emp003,Executive,3
reyesisabella,emp004,Executive,4
hernandezeduard,emp005,IT,5
villanuevaandrea,emp006,HR,6
sanjosebrad,emp007,HR,7
romualdezalice,emp008,HR,8
atienzarosie,emp009,HR,9
alvaroderick,emp010,Accounting,10
salcedoanthony,emp011,Finance,11
lopezjosie,emp012,Finance,12
faralamartha,emp013,Finance,13
martinezleila,emp014,Finance,14
romualdefredrick,emp015,Accounting,15
matachristian,emp016,Accounting,16
deleonselena,emp017,Accounting,17
sanjoseallison,emp018,Accounting,18
rosariocydney,emp019,Accounting,19
bautistamark,emp020,Accounting,20
lazarodarlene,emp021,Accounting,21
delossantoskolby,emp022,Accounting,22
santosvella,emp023,Accounting,23
delrosariotomas,emp024,Accounting,24
tolentinojacklyn,emp025,Accounting,25
gutierrezpercival,emp026,Accounting,26
manalaysaygarfield,emp027,Accounting,27
villegaslizeth,emp028,Accounting,28
ramoscarol,emp029,Accounting,29
macedaemelia,emp030,Accounting,30
aguilardelia,emp031,Accounting,31
castrojohn,emp032,Employee,32
martinezcarlos,emp033,Employee,33
santosbeatriz,emp034,Employee,34
delacruzjuan,emp035,Employee,35
